Date,Open,High,Low,Close,Adj Close,Volume
1/4/2010,7.931429,7.961429,7.565714,7.64,7.64,17239600
1/5/2010,7.652857,7.657143,7.258571,7.358571,7.358571,23753100
1/6/2010,7.361429,7.672857,7.197143,7.617143,7.617143,23290400
1/7/2010,7.731429,7.757143,7.462857,7.485714,7.485714,9955400
1/8/2010,7.498571,7.742857,7.465714,7.614286,7.614286,8180900
1/11/2010,7.66,7.704286,7.528571,7.604286,7.604286,6783700
1/12/2010,7.528571,7.582857,7.451429,7.481429,7.481429,6330100
1/13/2010,7.612857,7.754286,7.558571,7.708571,7.708571,14422100
1/14/2010,7.518571,7.575714,7.27,7.284286,7.284286,17685500
1/15/2010,7.245714,7.407143,7.232857,7.278571,7.278571,13031200
1/19/2010,7.25,7.382857,7.242857,7.314286,7.314286,5302500
1/20/2010,7.265714,7.492857,7.221429,7.32,7.32,9685200
1/21/2010,7.217143,7.454286,7.214286,7.312857,7.312857,8614900
1/22/2010,7.297143,7.484286,7.214286,7.27,7.27,9395400
1/25/2010,7.292857,7.357143,6.931429,7.018571,7.018571,13791400
1/26/2010,6.96,7.178571,6.937143,7.135714,7.135714,11343500
1/27/2010,7.142857,7.311429,6.992857,7.281429,7.281429,23347100
1/28/2010,8.812857,9.121429,8.675714,9.005714,9.005714,77352800
1/29/2010,8.962857,9.224286,8.792857,8.892857,8.892857,24604300
2/1/2010,8.83,8.981429,8.532857,8.718571,8.718571,18914000
2/2/2010,8.707143,8.878571,8.695714,8.835714,8.835714,10242400
2/3/2010,8.835714,8.982857,8.761429,8.85,8.85,8761200
2/4/2010,8.764286,8.892857,8.59,8.62,8.62,11026400
2/5/2010,8.595714,8.715714,8.468571,8.691429,8.691429,11099200
2/8/2010,8.705714,8.815714,8.571429,8.7,8.7,9346400
2/9/2010,8.722857,8.88,8.71,8.875714,8.875714,8811600
2/10/2010,8.872857,8.918571,8.72,8.784286,8.784286,5807900
2/11/2010,8.744286,9.07,8.728571,9.051429,9.051429,7203700
2/12/2010,9,9.025714,8.868571,9.025714,9.025714,8408400
2/16/2010,9.088571,9.287143,9.071429,9.265714,9.265714,9922500
